product_category_name,price,price,price
,min,max,mean
agro_industry_and_commerce,12.99,2990.0,342.12485849056617
air_conditioning,10.9,1599.0,185.26922558922578
art,3.5,6499.0,115.80210526315776
arts_and_craftmanship,9.8,289.49,75.58375000000002
audio,14.9,598.99,139.2541208791214
auto,3.49,2258.0,139.95752302243417
baby,3.54,3899.0,134.3441729200663
bed_bath_table,6.99,1999.98,93.29632748538626
books_general_interest,6.0,899.9,84.73215189873459
books_imported,18.99,749.0,77.3308333333333
books_technical,9.95,384.93,71.52082397003751
cds_dvds_musicals,45.0,65.0,52.142857142857146
christmas_supplies,5.5,295.0,57.52169934640516
cine_photo,6.8,873.99,96.29805555555552
computers,34.5,6729.0,1098.3405418719215
computers_accessories,3.9,3699.99,116.5139031557469
consoles_games,5.18,4099.99,138.49183817062365
construction_tools_construction,0.85,2300.0,155.73475780409004
construction_tools_lights,12.51,1290.0,135.13157894736852
construction_tools_safety,8.9,3099.9,208.99237113402094
cool_stuff,7.0,3109.99,167.35796891464773
costruction_tools_garden,8.82,1349.9,108.04995798319341
costruction_tools_tools,6.8,1899.0,154.40728155339795
diapers_and_hygiene,25.0,139.89,40.19461538461539
drinks,6.0,623.0,59.17862796833775
dvds_blu_ray,8.9,1420.0,93.74046874999996
electronics,3.99,2470.5,57.91353089989116
fashio_female_clothing,19.9,198.9,58.4091666666667
fashion_bags_accessories,6.0,1699.99,75.24546528803435
fashion_childrens_clothes,39.99,110.0,71.23125
fashion_male_clothing,14.9,292.5,81.80166666666655
fashion_shoes,25.9,365.0,89.93423664122164
fashion_sport,24.99,225.0,70.65033333333335
fashion_underwear_beach,3.9,192.0,72.8362595419846
fixed_telephony,6.0,1790.0,225.69318181818204
flowers,15.6,65.9,33.63757575757575
food,9.99,274.99,57.63413725490225
food_drink,6.5,699.9,54.60244604316539
furniture_bedroom,6.9,650.0,183.75027522935787
furniture_decor,4.9,1899.0,87.56449364051261
furniture_living_room,13.9,839.99,137.01105367793258
furniture_mattress_and_upholstery,44.7,399.99,114.94947368421053
garden_tools,6.35,3930.0,111.63019553715127
health_beauty,1.2,3124.0,130.16353050671964
home_appliances,6.19,2090.0,103.98382619974075
home_appliances_2,13.9,2350.0,476.124957983193
home_comfort_2,12.9,219.99,25.342333333333332
home_confort,6.99,799.0,134.95861751152088
home_construction,8.97,1097.99,137.56311258278134
housewares,3.06,6735.0,90.78814761631578
industry_commerce_and_business,27.9,3089.0,148.02093283582104
kitchen_dining_laundry_garden_furniture,9.6,1320.0,164.869644128114
la_cuisine,24.0,389.0,146.785
luggage_accessories,13.33,1197.9,128.59888278388152
market_place,9.99,1964.0,91.24909967845686
music,3.85,1165.97,158.7986842105263
musical_instruments,4.9,4399.87,281.6159999999988
office_furniture,25.0,1189.9,162.0110585452381
party_supplies,7.99,571.2,104.30651162790699
pc_gamer,129.99,239.0,171.77222222222224
perfumery,4.99,689.9,116.73731207955707
pet_shop,2.9,2498.0,110.07468412942812
portateis_cozinha_e_preparadores_de_alimentos,17.42,1099.0,264.56866666666673
security_and_services,100.0,183.29,141.64499999999998
signaling_and_security,4.5,740.0,108.08658291457292
small_appliances,6.5,4799.0,280.77846833578764
small_appliances_home_oven_and_coffee,10.19,2899.0,624.285657894737
sports_leisure,4.5,4059.0,114.34428538364001
stationery,2.29,1693.0,91.75336909018493
tablets_printing_image,14.9,889.99,90.70373493975899
telephony,5.0,2428.0,71.21397799779795
toys,4.9,1699.99,117.5483604566446
watches_gifts,8.99,3999.9,201.13598397596493
